Audax Italiano,CD Cobresal,CD Huachipato,CD Palestino,Coquimbo Unido,Curico Unido,Deportes Copiapo,Deportes Magallanes,Everton,Higgins,Nublense,Union Espanola,Union La Calera,Universidad Catolica,Universidad de Chile
5,8,2,1,4,3,11,7,14,9,10,15,12,6,13
3,7,1,4,5,2,13,11,10,12,8,15,9,6,14
2,7,6,1,3,5,14,11,9,12,10,15,8,4,13
3,2,7,1,5,6,14,8,10,12,11,15,9,4,13
3,2,7,1,5,6,14,9,8,10,12,15,11,4,13
2,7,6,1,4,5,14,11,8,10,12,15,9,3,13
4,3,7,1,6,2,14,11,8,10,12,15,9,5,13
4,3,7,1,6,2,14,12,8,9,13,15,10,5,11
2,6,7,1,5,4,14,13,8,9,12,15,11,3,10
2,6,7,1,5,4,14,13,8,9,11,15,10,3,12
5,4,7,1,3,2,14,13,9,10,11,15,8,6,12
6,4,7,1,3,2,14,13,8,11,12,15,9,5,10
7,5,6,1,4,2,14,13,8,11,12,15,10,3,9
7,5,6,1,4,2,14,13,8,11,12,15,9,3,10
7,5,6,1,4,2,14,13,9,11,12,15,8,3,10
7,6,5,3,4,1,14,13,10,11,12,15,9,2,8
6,7,5,3,4,2,14,13,10,11,12,15,9,1,8
6,7,5,3,4,2,14,13,11,10,12,15,8,1,9
6,7,5,2,4,3,14,13,11,10,12,15,8,1,9
6,7,5,3,2,4,14,13,11,10,12,15,8,1,9
6,7,5,2,4,3,14,13,11,8,12,15,9,1,10
6,7,5,2,4,3,14,13,11,8,12,15,9,1,10
6,7,4,2,5,3,14,13,11,8,12,15,10,1,9
5,7,2,3,6,4,14,13,11,8,12,15,10,1,9
3,7,2,4,6,5,14,13,11,8,12,15,10,1,9
3,7,2,4,6,5,14,13,11,8,12,15,10,1,9
3,7,2,4,6,5,14,13,11,8,12,15,10,1,9
2,7,3,4,6,5,14,13,11,8,12,15,10,1,9
