Atlas Guadalajara,Atletico San Luis,CF Monterrey,CF Pachuca,Club Leon,Club Necaxa,Club Tijuana,Club de Futbol America,Cruz Azul,Deportivo Guadalajara,Deportivo Toluca,FC Juarez,Gallos Blancos Queretaro FC,Mazatlan,Puebla FC,Pumas de la UNAM,Santos Laguna,Tigres de la Universidad Autonoma
18,5,1,2,15,11,17,6,16,3,10,13,8,12,7,14,9,4
18,5,4,6,16,10,15,2,17,3,9,13,8,14,7,12,11,1
18,6,2,7,14,5,15,3,17,4,8,12,10,16,9,13,11,1
18,4,2,5,14,7,15,3,16,6,9,13,11,17,10,8,12,1
18,4,2,6,15,5,16,3,14,7,10,13,11,17,12,9,8,1
17,4,2,5,15,6,16,3,14,7,10,13,11,18,12,9,8,1
17,5,2,4,16,6,15,3,14,7,10,13,11,18,12,9,8,1
11,5,2,4,17,6,15,3,16,7,10,14,12,18,13,9,8,1
10,5,1,4,17,6,14,3,16,8,11,15,12,18,13,9,7,2
12,5,1,4,16,6,14,3,17,8,11,15,13,18,10,9,7,2
10,5,1,4,17,6,14,3,16,8,12,15,13,18,11,9,7,2
11,5,1,4,17,6,14,3,16,8,10,15,13,18,12,9,7,2
10,5,1,4,17,7,15,3,16,8,12,13,14,18,11,9,6,2
11,4,1,5,17,7,14,3,16,9,12,13,15,18,10,8,6,2
12,4,2,5,17,6,14,3,16,8,11,13,15,18,10,9,7,1
12,4,2,5,17,7,15,3,16,8,10,13,14,18,9,11,6,1
12,3,2,4,17,7,15,5,16,8,10,13,14,18,9,11,6,1
12,3,2,4,17,8,16,5,15,7,11,13,14,18,10,9,6,1
12,3,2,4,17,8,16,5,15,7,10,13,14,18,9,11,6,1
13,3,2,4,17,8,15,5,16,7,10,12,14,18,9,11,6,1
12,3,2,4,17,10,15,5,16,7,9,13,14,18,8,11,6,1
11,3,2,4,17,10,15,5,16,6,8,13,14,18,9,12,7,1
12,3,2,4,17,10,15,5,16,6,8,11,14,18,9,13,7,1
12,3,2,4,17,11,16,5,15,6,9,10,14,18,8,13,7,1
12,3,2,4,17,11,16,5,15,6,8,10,14,18,9,13,7,1
12,3,2,4,17,11,16,5,15,6,7,10,14,18,9,13,8,1
12,3,2,4,17,11,16,6,15,5,7,10,14,18,9,13,8,1
13,3,2,4,17,12,16,6,15,5,7,10,11,18,9,14,8,1
13,3,2,4,17,12,16,6,15,5,7,10,11,18,9,14,8,1
13,3,2,4,17,12,16,6,15,5,7,10,11,18,9,14,8,1
13,3,2,4,17,12,16,6,15,5,7,10,11,18,9,14,8,1
13,3,2,4,17,12,16,6,15,5,7,10,11,18,9,14,8,1
13,3,2,4,17,12,16,6,15,5,7,10,11,18,9,14,8,1
13,3,2,4,17,12,16,6,15,5,7,10,11,18,9,14,8,1
