player_name
A. Lacazette
R. Mahrez
S. Okazaki
A. Oxlade-Chamberlain
D. Welbeck
G. Xhaka
S. Kolašinac
Mohamed Elneny
J. Vardy
M. Özil
Bellerín
A. Ramsey
O. Giroud
Gabriel Jesus
Danilo
Fernandinho
K. De Bruyne
L. Dunk
N. Otamendi
S. Agüero
D. Pröpper
S. Duffy
B. Mee
A. Rüdiger
S. Vokes
Marcos Alonso
S. Ward
David Luiz
N. Kanté
R. Brady
M. Batshuayi
Álvaro Morata
T. Ince
K. Palmer
P. Billing
S. Mounié
R. Loftus-Cheek
M. Jørgensen
W. Zaha
C. Benteke
J. Puncheon
C. Löwe
P. van Aanholt
S. Dann
J. Tomkins
Sandro
J. Allen
I. Gueye
M. Diouf
Bojan
W. Rooney
S. Berahino
D. Calvert-Lewin
D. Fletcher
P. Crouch
E. Choupo-Moting
X. Shaqiri
H. Mkhitaryan
D. Blind
M. Rashford
N. Matić
R. Lukaku
M. Noble
A. Valencia
E. Fernandes
M. Arnautović
P. Pogba
A. Martial
A. Cresswell
J. Hernández
D. Gayle
M. Dembélé
C. Eriksen
H. Kane
D. Alli
B. Davies
E. Dier
C. Atsu
C. Clark
M. Gabbiadini
D. Tadić
R. Bertrand
T. Abraham
J. Ward-Prowse
N. Redmond
Cédric Soares
S. Davis
M. Yoshida
L. Fer
M. Olsson
S. Boufal
C. Austin
R. Pereyra
S. Okaka
S. Mané
A. Doucouré
N. Chalobah
Mohamed Salah
Alberto Moreno
J. Matip
D. Lovren
J. Holebas
G. Wijnaldum
M. Britos
Richarlison
J. Rodriguez
M. Phillips
J. McClean
Ahmed Hegazy
C. Yacob
A. Surman
H. Arter
J. King
R. Fraser
J. Ibe
N. Aké
H. Robson-Kanu
S. Rondón
T. Cleverley
B. Afobe
A. Gray
S. Cook
N. Amrabat
E. Capoue
J. Hendrick
J. Guðmunds­son
S. Field
J. Livermore
C. Brunt
S. Defour
J. Cork
M. Lowton
A. Barnes
J. Walters
Ayoze Pérez
A. Mooy
T. Smith
M. Ritchie
Joselu
I. Hayden
J. Murphy
W. Morgan
S. March
M. James
M. Albrighton
H. Maguire
T. Hemed
J. Milner
L. Milivojević
D. Sturridge
Roberto Firmino
J. Henderson
A. Robertson
D. Solanke
T. Davies
A. Williams
David Silva
V. Kompany
Bernardo Silva
R. Sterling
Jesé Rodríguez
R. Shawcross
S. Mustafi
J. Ayew
Roque Mesa
P. Jones
K. Bartley
Juan Mata
E. Bailly
T. Alderweireld
V. Wanyama
V. Moses
Willian
J. Vertonghen
M. Antonio
João Mário
P. Højbjerg
W. Hoedt
S. Long
C. Daniels
J. Defoe
A. Smith
Pedro
Fàbregas
G. Sigurðsson
Azpilicueta
T. Bakayoko
A. Lennon
J. McArthur
A. Townsend
M. Kelly
Lee Chung-Yong
T. Fosu-Mensah
M. van der Hoorn
Y. Cabaye
R. van La Parra
E. Kachunga
M. Lemina
D. Williams
E. Can
R. Holding
A. Sánchez
W. Ndidi
D. Gray
J. Lingard
M. Fellaini
A. King
A. Ayew
Mikel Merino
A. Mitrović
M. Lanzini
Son Heung-Min
J. Tarkowski
S. Arfield
M. Sissoko
C. Wood
D. Stephens
A. Knockaert
J. Izquierdo
A. Carrillo
M. Suttner
Kiko Femenía
J. Morrison
B. Martins Indi
K. Zouma
G. Cameron
C. Dawson
F. Coquelin
L. Mousset
G. Barry
P. Groß
G. Krychowiak
A. Nyom
O. Burke
K. Gibbs
J. Schlupp
J. Riedewald
I. Slimani
C. Fuchs
D. Zappacosta
J. Stones
L. Sané
J. Stephens
D. Janmaat
Oriol Romeu
M. Darmian
T. Carroll
A. Mawson
Renato Sanches
J. Lascelles
L. Narsingh
F. Fernández
A. Carroll
José Fonte
C. Kouyaté
Pedro Obiang
A. Sabiri
M. Pugh
L. Rosenior
L. Koscielny
E. Hazard
Nacho Monreal
J. Ward
L. Depoitre
K. Iheanacho
C. Quaner
T. Alexander-Arnold
Philippe Coutinho
M. Keane
D. Yedlin
J. Shelvey
K. Trippier
S. Clucas
S. Aurier
B. Mendy
C. Kabasele
İ. Gündoğan
Jesús Gámez
J. Stanislas
Cuco Martina
D. Gosling
M. Holgate
O. Niasse
K. Walker
F. Delph
Ander Herrera
W. Bony
T. Deeney
D. Sánchez
W. Reid
L. Cook
I. Brown
A. Iwobi
G. Murray
A. Christensen
M. Schneiderlin
N. Vlašić
M. Sakho
B. Sako
C. Smalling
A. Young
M. Diamé
V. van Dijk
J. Evans
A. Mariappa
D. Sakho
K. Mirallas
C. Musonda
N. Chadli
D. Simpson
Vicente Iborra
J. Gomez
F. Lejeune
Sung-Yeung Ki
H. Winks
P. Mertesacker
L. Baines
G. Johnson
K. Naughton
W. Routledge
N. Dyer
A. Masuaku
Javi Manquillo
A. Ogbonna
B. Chilwell
P. Jagielka
C. Adam
G. Cahill
J. Kenny
F. Hadergjonaj
C. Wilson
D. Rose
S. Malone
Ramadan Sobhi
A. Lookman
E. Mangala
Z. Ibrahimović
R. Aarons
W. Hughes
D. Drinkwater
J. Wilshere
C. Schindler
S. Francis
Fernando Llorente
D. Rice
J. Pied
K. Long
R. Klavan
E. Lamela
O. Zinchenko
A. Maitland-Niles
D. Ings
A. Lallana
G. Bong
P. Bardsley
S. Prödl
B. Watson
C. Goldson
H. Saivet
J. Collins
B. Kayal
C. Chambers
J. Lolley
O. McBurnie
L. Shaw
M. Rojo
M. Wagué
L. Ulloa
Y. Bolasie
Y. Touré
J. Hogg
N. Wells
S. McQueen
K. Wimmer
T. Edwards
A. Dragović
A. Pritchard
S. Ireland
P. Dummett
C. Tosun
J. McCarthy
Bruno Saltor
E. Schelotto
G. N'Koudou
T. Walcott
P. Zabaleta
S. Byram
R. Barkley
C. Hudson-Odoi
S. Coleman
Kenedy
G. Carrillo
Brahim Diaz
M. Bauer
Deulofeu
B. N'Diaye
P. Aubameyang
F. Diabaté
A. Sørloth
M. Carrick
D. Lukebakio
J. Locadia
A. Westwood
J. Sims
K. Stafylidis
E. Nketiah
Adrien Silva
Emerson
A. Laporte
S. McTominay
E. Pieters
T. Campbell
H. Choudhury
J. Bednarek
Lucas Moura
H. Barnes
C. Cathcart
T. Kongolo
N. Clyne
V. Lindelöf
R. Nelson
Y. Benalouane
T. Mings
Ramiro Funes Mori
D. Klaassen
