,game_id,game_date,game_label,game_week
0,2576335,20/05/2018,"Lazio - Internazionale, 2 - 3",38
1,2576335,20/05/2018,"Lazio - Internazionale, 2 - 3",38
2,2576336,20/05/2018,"Sassuolo - Roma, 0 - 1",38
3,2576336,20/05/2018,"Sassuolo - Roma, 0 - 1",38
4,2576329,20/05/2018,"Cagliari - Atalanta, 1 - 0",38
5,2576329,20/05/2018,"Cagliari - Atalanta, 1 - 0",38
6,2576330,20/05/2018,"Chievo - Benevento, 1 - 0",38
7,2576330,20/05/2018,"Chievo - Benevento, 1 - 0",38
8,2576331,20/05/2018,"Udinese - Bologna, 1 - 0",38
9,2576331,20/05/2018,"Udinese - Bologna, 1 - 0",38
10,2576332,20/05/2018,"Napoli - Crotone, 2 - 1",38
11,2576332,20/05/2018,"Napoli - Crotone, 2 - 1",38
12,2576333,20/05/2018,"Milan - Fiorentina, 5 - 1",38
13,2576333,20/05/2018,"Milan - Fiorentina, 5 - 1",38
14,2576337,20/05/2018,"SPAL - Sampdoria, 3 - 1",38
15,2576337,20/05/2018,"SPAL - Sampdoria, 3 - 1",38
16,2576338,20/05/2018,"Genoa - Torino, 1 - 2",38
17,2576338,20/05/2018,"Genoa - Torino, 1 - 2",38
18,2576334,19/05/2018,"Juventus - Hellas Verona, 2 - 1",38
19,2576334,19/05/2018,"Juventus - Hellas Verona, 2 - 1",38
20,2576322,13/05/2018,"Roma - Juventus, 0 - 0",37
21,2576322,13/05/2018,"Roma - Juventus, 0 - 0",37
22,2576325,13/05/2018,"Sampdoria - Napoli, 0 - 2",37
23,2576325,13/05/2018,"Sampdoria - Napoli, 0 - 2",37
24,2576324,13/05/2018,"Atalanta - Milan, 1 - 1",37
25,2576324,13/05/2018,"Atalanta - Milan, 1 - 1",37
26,2576319,13/05/2018,"Fiorentina - Cagliari, 0 - 1",37
27,2576319,13/05/2018,"Fiorentina - Cagliari, 0 - 1",37
28,2576320,13/05/2018,"Bologna - Chievo, 1 - 2",37
29,2576320,13/05/2018,"Bologna - Chievo, 1 - 2",37
30,2576323,13/05/2018,"Crotone - Lazio, 2 - 2",37
31,2576323,13/05/2018,"Crotone - Lazio, 2 - 2",37
32,2576327,13/05/2018,"Torino - SPAL, 2 - 1",37
33,2576327,13/05/2018,"Torino - SPAL, 2 - 1",37
34,2576328,13/05/2018,"Hellas Verona - Udinese, 0 - 1",37
35,2576328,13/05/2018,"Hellas Verona - Udinese, 0 - 1",37
36,2576326,12/05/2018,"Internazionale - Sassuolo, 1 - 2",37
37,2576326,12/05/2018,"Internazionale - Sassuolo, 1 - 2",37
38,2576321,12/05/2018,"Benevento - Genoa, 1 - 0",37
39,2576321,12/05/2018,"Benevento - Genoa, 1 - 0",37
40,2576316,06/05/2018,"Cagliari - Roma, 0 - 1",36
41,2576316,06/05/2018,"Cagliari - Roma, 0 - 1",36
42,2576317,06/05/2018,"Sassuolo - Sampdoria, 1 - 0",36
43,2576317,06/05/2018,"Sassuolo - Sampdoria, 1 - 0",36
44,2576309,06/05/2018,"Lazio - Atalanta, 1 - 1",36
45,2576309,06/05/2018,"Lazio - Atalanta, 1 - 1",36
46,2576310,06/05/2018,"SPAL - Benevento, 2 - 0",36
47,2576310,06/05/2018,"SPAL - Benevento, 2 - 0",36
48,2576312,06/05/2018,"Chievo - Crotone, 2 - 1",36
49,2576312,06/05/2018,"Chievo - Crotone, 2 - 1",36
50,2576313,06/05/2018,"Genoa - Fiorentina, 2 - 3",36
51,2576313,06/05/2018,"Genoa - Fiorentina, 2 - 3",36
52,2576318,06/05/2018,"Napoli - Torino, 2 - 2",36
53,2576318,06/05/2018,"Napoli - Torino, 2 - 2",36
54,2576315,06/05/2018,"Udinese - Internazionale, 0 - 4",36
55,2576315,06/05/2018,"Udinese - Internazionale, 0 - 4",36
56,2576311,05/05/2018,"Juventus - Bologna, 3 - 1",36
57,2576311,05/05/2018,"Juventus - Bologna, 3 - 1",36
58,2576314,05/05/2018,"Milan - Hellas Verona, 4 - 1",36
59,2576314,05/05/2018,"Milan - Hellas Verona, 4 - 1",36
60,2576303,29/04/2018,"Torino - Lazio, 0 - 1",35
61,2576303,29/04/2018,"Torino - Lazio, 0 - 1",35
62,2576305,29/04/2018,"Fiorentina - Napoli, 3 - 0",35
63,2576305,29/04/2018,"Fiorentina - Napoli, 3 - 0",35
64,2576299,29/04/2018,"Sampdoria - Cagliari, 4 - 1",35
65,2576299,29/04/2018,"Sampdoria - Cagliari, 4 - 1",35
66,2576301,29/04/2018,"Atalanta - Genoa, 3 - 1",35
67,2576301,29/04/2018,"Atalanta - Genoa, 3 - 1",35
68,2576304,29/04/2018,"Bologna - Milan, 1 - 2",35
69,2576304,29/04/2018,"Bologna - Milan, 1 - 2",35
70,2576307,29/04/2018,"Hellas Verona - SPAL, 1 - 3",35
71,2576307,29/04/2018,"Hellas Verona - SPAL, 1 - 3",35
72,2576308,29/04/2018,"Benevento - Udinese, 3 - 3",35
73,2576308,29/04/2018,"Benevento - Udinese, 3 - 3",35
74,2576306,29/04/2018,"Crotone - Sassuolo, 4 - 1",35
75,2576306,29/04/2018,"Crotone - Sassuolo, 4 - 1",35
76,2576302,28/04/2018,"Internazionale - Juventus, 2 - 3",35
77,2576302,28/04/2018,"Internazionale - Juventus, 2 - 3",35
78,2576300,28/04/2018,"Roma - Chievo, 4 - 1",35
79,2576300,28/04/2018,"Roma - Chievo, 4 - 1",35
80,2576293,23/04/2018,"Genoa - Hellas Verona, 3 - 1",34
81,2576293,23/04/2018,"Genoa - Hellas Verona, 3 - 1",34
82,2576295,22/04/2018,"Juventus - Napoli, 0 - 1",34
83,2576295,22/04/2018,"Juventus - Napoli, 0 - 1",34
84,2576291,22/04/2018,"Udinese - Crotone, 1 - 2",34
85,2576291,22/04/2018,"Udinese - Crotone, 1 - 2",34
